Date,Close,High,Low,Open,Volume
2015-11-11,26.130651473999023,26.42546750582627,25.92810538774302,26.189165169362212,180872000
2015-11-12,26.04288673400879,26.29044234554462,26.027133241920197,26.164414408835878,130102400
2015-11-13,25.282203674316406,26.009118445553383,25.266450188475414,25.92584903925033,183249600
2015-11-16,25.696306228637695,25.709808730253343,24.980644453978773,25.066163159214113,152426800
2015-11-17,25.586027145385742,25.892096384430133,25.502757727542303,25.86283868024117,110467600
2015-11-18,26.396209716796875,26.441219192006294,25.993368560767326,26.051882252140704,186698800
2015-11-19,26.731534957885742,26.94983451847588,26.276933076812536,26.474977171646167,173183200
2015-11-20,26.848562240600586,26.988092643508082,26.74728834619848,26.826055786065844,137148400
2015-11-23,26.499731063842773,26.94533239262618,26.407459413897218,26.841807516150237,129930000
2015-11-24,26.754043579101562,26.85981774995822,26.3579553319384,26.40521580289531,171212800
2015-11-25,26.56275177001953,26.832813822449566,26.537996038955068,26.82831184389144,85553200
2015-11-27,26.51323699951172,26.64826886737804,26.465976532559118,26.62126215040447,52185600
2015-11-30,26.62351417541504,26.873320736886424,26.499735530721434,26.55374724976883,156721200
2015-12-01,26.4074649810791,26.7382899936015,26.299441538419742,26.7247874925195,139409600
2015-12-02,26.168909072875977,26.5807524855248,26.123899595680022,26.407462392617234,133546400
2015-12-03,25.92585563659668,26.283687358901076,25.705306778699796,26.229675638987786,166278000
2015-12-04,26.787799835205078,26.837311292183443,25.9056009997772,25.94611021757754,231108000
2015-12-07,26.619014739990234,26.974595501438618,26.513240563875687,26.776551368012537,128336800
2015-12-08,26.607759475708008,26.691027181077096,26.29943923103996,26.44797188091549,137238000
2015-12-09,26.0203800201416,26.48623521319984,25.898852354517487,26.474981983845083,185445600
2015-12-10,26.144153594970703,26.317443689533036,25.995620945204504,26.114897606214114,116850800
2015-12-11,25.47125244140625,25.968614558600958,25.39698525707814,25.923605080402936,187544800
2015-12-14,25.313716888427734,25.35872636544817,24.70832963559441,25.246200955895596,257274800
2015-12-15,24.865863800048828,25.385732344645458,24.834356823649205,25.192188508475535,213292400
2015-12-16,25.05715560913086,25.203438974640342,24.485528079849917,24.996392647735327,224954000
2015-12-17,24.52603530883789,25.261950620429094,24.52603530883789,25.210188184389988,179091200
2015-12-18,23.862136840820312,24.647563678113645,23.812625388457732,24.51028426520113,385813200
2015-12-21,24.154705047607422,24.163707286494162,23.758615121598442,24.143451819748623,190362400
2015-12-22,24.132192611694336,24.242466998131164,23.956651584895702,24.170450827009017,131157600
2015-12-23,24.442768096923828,24.49677980942645,24.12544563734299,24.141199125031314,130629600
2015-12-24,24.31224250793457,24.530542102280638,24.29423802825616,24.530542102280638,54281600
2015-12-28,24.0399227142334,24.235717498438177,23.89589036160037,24.213211048275888,106816800
2015-12-29,24.472026824951172,24.62731244741854,24.048931881781158,24.071436621428216,123724800
2015-12-30,24.152454376220703,24.463023895390158,24.12094739820358,24.43601889537635,100855200
2015-12-31,23.68885040283203,24.08718960898984,23.58982749004638,24.082689347954826,163649200
2016-01-04,23.7091064453125,23.713608423784326,22.955186449441953,23.092467603803655,270597600
2016-01-05,23.114971160888672,23.82163064861039,23.047456940285645,23.79912590840938,223164000
2016-01-06,22.66261100769043,23.03844708450596,22.475820180471928,22.631104038424606,273829600
2016-01-07,21.706153869628906,22.534341069129724,21.70165360809434,22.208018022318978,324377600
2016-01-08,21.8209228515625,22.304782359296947,21.77591338354117,22.178754475236307,283192000
2016-01-11,22.174257278442383,22.29353393971297,21.9064462500791,22.273280189837518,198957600
2016-01-12,22.496084213256836,22.66037209985096,22.244026626852737,22.628865116175675,196616800
2016-01-13,21.917699813842773,22.772893639718973,21.897446063656986,22.577098802915323,249758400
2016-01-14,22.39706039428711,22.61311072662906,21.546368434822075,22.04598160898453,252680400
2016-01-15,21.859188079833984,21.989717982749493,21.460848837421395,21.649890724125214,319335600
2016-01-19,21.75341796875,22.201268720326865,21.49235813478439,22.14725699216228,212350800
2016-01-20,21.782672882080078,22.097744428563974,21.02425086796548,21.4023363803458,289337600
